donation_id,donor_id,campaign_id,donation_date,amount,method,status,first_name,last_name,email,gender,join_date,alumni_status,total_gifts,donor_tier,name,type,start_date,manager,end_date,goal_amount,donation_month,donation_year,percent_of_goal,donation_success_flag
DON00001,D0621,CAMP021,2025-01-11,3588.34,Online,Failed,Debra,Brown,kennethconner@yahoo.com,Female,2020-11-24,True,7905.92,Gold,Extend Innovative Applications,Emergency Relief,2021-01-31,Natalie Dougherty,2021-07-09,247090,2025-01,2025,1.4522400744667934,0
DON00002,D0510,CAMP005,2022-10-03,544.85,Credit Card,Failed,Patricia,Cortez,wenglish@gmail.com,Female,2023-02-26,False,6433.94,Gold,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2022-10,2022,0.287395427835976,0
DON00003,D0517,CAMP023,2022-06-13,534.64,Online,Refunded,Dominique,Adams,campbellwilliam@hamilton-williamson.com,Male,2022-06-08,True,9961.27,Gold,Aggregate Real-Time Markets,Alumni Giving,2021-09-10,Alyssa Stone,2023-12-27,41995,2022-06,2022,1.2731039409453506,0
DON00004,D0016,CAMP016,2022-10-12,3374.09,Online,Refunded,Jessica,Bailey,kellyhernandez@gmail.com,Female,2021-06-01,True,3591.99,Silver,Architect Proactive E-Commerce,Athletics,2024-12-25,Rhonda Foster,2025-03-12,176530,2022-10,2022,1.911340848580978,0
DON00005,D0532,CAMP020,2023-08-07,3447.56,Check,Failed,Tanya,Crane,travissanchez@baker.com,Other,2024-05-11,True,965.96,Bronze,Benchmark Clicks-And-Mortar Technologies,Scholarships,2024-04-27,Brian Nelson,2024-10-04,214712,2023-08,2023,1.605667126196952,0
DON00006,D0743,CAMP003,2020-11-19,1741.31,Cash,Failed,Colleen,Smith,sonya54@bennett.com,Female,2025-04-04,False,615.84,Bronze,Target Magnetic Metrics,Emergency Relief,2020-08-09,Thomas Hill,2022-10-31,47449,2020-11,2020,3.66985605597589,0
DON00007,D0160,CAMP007,2020-10-12,990.94,Credit Card,Completed,Cynthia,Jones,sabrinadaugherty@yahoo.com,Male,2024-10-27,False,1056.52,Silver,Generate Intuitive Schemas,Athletics,2024-01-17,Jessica Davis,2025-03-08,60022,2020-10,2020,1.6509613141847992,1
DON00008,D0596,CAMP024,2022-06-25,643.08,Check,Failed,Julia,Hall,glennmathis@lane.com,Female,2022-02-24,True,9123.47,Gold,Morph Next-Generation Paradigms,Emergency Relief,2025-04-08,Megan Richardson,2025-04-13,93930,2022-06,2022,0.6846374960076653,0
DON00009,D0412,CAMP011,2021-02-21,307.18,Credit Card,Failed,Tracy,Ho,roblestroy@kidd-williams.info,Female,2023-10-13,True,3233.8,Silver,Incentivize Efficient Action-Items,Athletics,2021-08-15,Jessica Gonzales,2025-04-06,125565,2021-02,2021,0.24463823517699998,0
DON00010,D0729,CAMP018,2023-09-04,2024.69,Online,Completed,William,Mooney,davidgibson@rodriguez.com,Female,2022-12-19,True,1975.93,Silver,Empower World-Class Communities,Alumni Giving,2025-01-23,Christopher Henderson,2025-01-28,27291,2023-09,2023,7.418892675240922,1
DON00011,D0365,CAMP018,2023-01-19,3620.54,Cash,Completed,Abigail,Dodson,william25@gmail.com,Male,2023-06-16,False,9793.88,Gold,Empower World-Class Communities,Alumni Giving,2025-01-23,Christopher Henderson,2025-01-28,27291,2023-01,2023,13.266424828698106,1
DON00012,D0536,CAMP020,2022-05-06,4389.26,Check,Completed,Kimberly,Garcia,vflores@mason.org,Male,2023-10-20,True,8259.75,Gold,Benchmark Clicks-And-Mortar Technologies,Scholarships,2024-04-27,Brian Nelson,2024-10-04,214712,2022-05,2022,2.0442546294571335,1
DON00013,D0306,CAMP017,2024-12-12,3382.12,Check,Failed,Margaret,Rodriguez,sharon81@gmail.com,Female,2022-11-05,False,319.67,Bronze,Matrix Efficient Niches,Emergency Relief,2024-09-15,Nicholas Cochran,2024-12-22,86721,2024-12,2024,3.9000011531232346,0
DON00014,D0524,CAMP005,2021-10-24,1573.15,Check,Refunded,Rodney,Sparks,jesse64@jimenez.biz,Other,2022-05-27,False,4716.59,Silver,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2021-10,2021,0.8297992425441235,0
DON00015,D0854,CAMP009,2024-09-18,4675.67,Online,Completed,Melissa,Espinoza,cwilson@yahoo.com,Other,2022-04-18,False,1010.66,Silver,Whiteboard Holistic Users,Emergency Relief,2023-04-30,Jeremy Lee,2024-07-24,58464,2024-09,2024,7.997519841269842,1
