donor_id,first_name,last_name,email,gender,join_date,alumni_status,total_gifts,donor_tier
D0001,Susan,Smith,brownbrian@yahoo.com,Female,2022-03-03,True,8084.08,Gold
D0002,Francisco,White,erictodd@williams-shaffer.com,Female,2022-07-08,True,1605.95,Silver
D0003,Justin,Ponce,bob37@ramos.com,Female,2024-06-04,False,5371.68,Gold
D0004,Lindsey,Hall,christopherwhite@gmail.com,Female,2021-01-17,False,8970.56,Gold
D0005,Kristina,Hawkins,keith02@huff.com,Female,2023-01-24,False,1935.67,Silver
D0006,Sandra,Davis,chelsea35@davis.com,Other,2024-06-23,True,9202.98,Gold
D0007,Mark,Davidson,tpena@stark-mcgrath.com,Female,2024-01-29,True,9961.0,Gold
D0008,Diana,Lee,smithjoshua@dodson-frye.com,Other,2024-05-27,True,5515.99,Gold
D0009,Anthony,Chase,frank34@yahoo.com,Male,2020-07-15,True,8640.32,Gold
D0010,Albert,Dixon,erinmoore@yahoo.com,Female,2025-04-28,False,6828.2,Gold
D0011,Crystal,Alexander,alison82@hotmail.com,Male,2023-01-11,False,7476.28,Gold
D0012,Sandra,Barry,hawkinsbethany@miller.net,Other,2020-10-30,True,4365.55,Silver
D0013,Victoria,Hanson,thomasblevins@odom.com,Female,2025-04-29,True,1940.02,Silver
D0014,John,Reynolds,jcarter@ashley.net,Other,2022-01-17,False,9356.87,Gold
D0015,Amanda,Stevens,pdouglas@lewis.com,Other,2021-06-29,False,1976.93,Silver
D0016,Jessica,Bailey,kellyhernandez@gmail.com,Female,2021-06-01,True,3591.99,Silver
D0017,Tommy,Scott,jennifer45@yahoo.com,Female,2022-03-16,False,9362.16,Gold
D0018,Leslie,Williams,fdaniels@hotmail.com,Other,2020-09-30,True,1383.23,Silver
D0019,William,Gonzalez,william92@howard-stokes.com,Other,2021-05-10,False,2461.19,Silver
D0020,Jennifer,Coleman,rogersbrittany@ramirez-horn.com,Female,2020-09-04,False,774.94,Bronze
D0021,Jeff,Hunt,johnsondawn@ross.com,Other,2021-11-25,False,8813.31,Gold
D0022,Antonio,Williams,usanchez@hughes.info,Male,2021-01-27,False,8460.21,Gold
D0023,Matthew,Ortiz,ktaylor@gmail.com,Male,2024-08-08,False,3598.99,Silver
D0024,Shannon,Clark,cookjennifer@bowman.org,Other,2022-10-11,False,1928.82,Silver
